CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 1700.. 1800.. 1900.. 2000.. 2100.. 2200.. 2300.. 2400.. 2500.. 2600.. 2700.. 2800.. 2900.. 3000.. 3100.. 3200.. 3300.. 3400.. 3500.. 3600.. 3700.. 3800.. 3900.. 4000.. 4100.. 4200.. 4300.. 4400.. 4500.. 4600.. 4700.. 4800.. 4900.. 5000.. 5100.. 5200.. 5300.. 5400.. 5500.. 5600.. 5700.. 5800.. 5900.. 6000.. 6100.. 6200.. 6300.. 6400.. 6500.. 6600.. 6700.. 6800.. 6900.. 7000.. 7100.. 7200.. 7300.. 7400.. 7500.. 7600.. 7700.. 7800.. 7900.. 8000.. 8100.. 8200.. 8300.. 8400.. 8500.. 8600.. 8700.. 8800.. 8900.. 9000.. 9100.. 9200.. 9300.. 9400.. 9500.. 9600.. 9700.. 9800.. 9900.. 10000.. 10100.. 10200.. 10300.. 10400.. 10500.. 10600.. 10700.. 10800.. 10900.. 11000.. 11100.. 11200.. 11300.. 11400.. 11500.. 11600.. 11700.. 11800.. 11900.. 12000.. 12100.. 12200.. 12300.. 12400.. 12500.. 12600.. 12700.. 12800.. 12900.. 13000.. 13100.. 13200.. 13300.. 13400.. 13500.. 13600.. 13700.. 13800.. 13900.. 14000.. 14100.. 14200.. 14300.. 14400.. 14500.. 14600.. 14700.. 14800.. 14900.. 15000.. 15100.. 15200.. 15300.. 15400.. 15500.. 15600.. 15700.. 15800.. 15900.. 16000.. 16100.. 16200.. 16300.. 16400.. 16500.. 16600.. 16700.. 16800.. 16900.. 17000.. 17100.. 17200.. 17300.. 17400.. 17500.. 
Done!8.53 s

Number of sentences: 17535
Number of features:  8855328
Number of thread(s): 1
Freq:                1
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=0 terr=0.99909 serr=1.00000 act=8855328 obj=2088077.46240 diff=1.00000
iter=1 terr=0.06213 serr=0.69712 act=8855328 obj=1203207.91340 diff=0.42377
iter=2 terr=0.06213 serr=0.69712 act=8855328 obj=502947.07473 diff=0.58199
iter=3 terr=0.06213 serr=0.69712 act=8855328 obj=441482.79130 diff=0.12221
iter=4 terr=0.06183 serr=0.67950 act=8855328 obj=312250.18943 diff=0.29272
iter=5 terr=0.06213 serr=0.69712 act=8855328 obj=335957.94901 diff=0.07593
iter=6 terr=0.50359 serr=0.98865 act=8855328 obj=5627811.71054 diff=15.75154
iter=7 terr=0.06213 serr=0.69712 act=8855328 obj=309624.62147 diff=0.94498
iter=8 terr=0.10727 serr=0.84631 act=8855328 obj=493948.71544 diff=0.59531
iter=9 terr=0.06213 serr=0.69712 act=8855328 obj=275812.34807 diff=0.44162
iter=10 terr=0.06213 serr=0.69712 act=8855328 obj=267708.95434 diff=0.02938
iter=11 terr=0.06213 serr=0.69712 act=8855328 obj=258656.35284 diff=0.03382
iter=12 terr=0.06213 serr=0.69712 act=8855328 obj=251618.08916 diff=0.02721
iter=13 terr=0.06213 serr=0.69712 act=8855328 obj=243006.67012 diff=0.03422
iter=14 terr=0.06188 serr=0.69638 act=8855328 obj=218802.76443 diff=0.09960
iter=15 terr=0.05938 serr=0.69210 act=8855328 obj=203280.37129 diff=0.07094
iter=16 terr=0.06153 serr=0.69524 act=8855328 obj=198267.89476 diff=0.02466
iter=17 terr=0.21077 serr=0.85173 act=8855328 obj=331304.62327 diff=0.67099
iter=18 terr=0.06004 serr=0.69313 act=8855328 obj=187721.45236 diff=0.43339
iter=19 terr=0.05840 serr=0.68737 act=8855328 obj=182524.19883 diff=0.02769
iter=20 terr=0.05675 serr=0.67773 act=8855328 obj=174799.59316 diff=0.04232
iter=21 terr=0.05549 serr=0.67859 act=8855328 obj=169305.76213 diff=0.03143
iter=22 terr=0.05527 serr=0.67927 act=8855328 obj=165434.73638 diff=0.02286
iter=23 terr=0.05500 serr=0.68543 act=8855328 obj=163524.03862 diff=0.01155
iter=24 terr=0.05385 serr=0.68115 act=8855328 obj=158430.41631 diff=0.03115
iter=25 terr=0.05286 serr=0.67288 act=8855328 obj=153597.45522 diff=0.03051
iter=26 terr=0.05103 serr=0.65600 act=8855328 obj=147829.00813 diff=0.03756
iter=27 terr=0.04907 serr=0.65127 act=8855328 obj=136380.93608 diff=0.07744
iter=28 terr=0.04823 serr=0.64733 act=8855328 obj=135465.20859 diff=0.00671
iter=29 terr=0.04741 serr=0.64437 act=8855328 obj=131478.13600 diff=0.02943
iter=30 terr=0.04718 serr=0.64431 act=8855328 obj=130546.98730 diff=0.00708
iter=31 terr=0.04698 serr=0.64146 act=8855328 obj=129548.52635 diff=0.00765
iter=32 terr=0.04587 serr=0.61728 act=8855328 obj=124689.92837 diff=0.03750
iter=33 terr=0.04498 serr=0.60034 act=8855328 obj=118881.86471 diff=0.04658
