CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 1700.. 1800.. 1900.. 2000.. 2100.. 2200.. 2300.. 2400.. 2500.. 2600.. 2700.. 2800.. 2900.. 3000.. 3100.. 3200.. 3300.. 3400.. 3500.. 3600.. 3700.. 3800.. 3900.. 4000.. 4100.. 4200.. 4300.. 4400.. 4500.. 4600.. 4700.. 4800.. 4900.. 5000.. 5100.. 5200.. 5300.. 5400.. 5500.. 5600.. 5700.. 5800.. 5900.. 6000.. 6100.. 6200.. 6300.. 6400.. 6500.. 6600.. 6700.. 6800.. 6900.. 7000.. 7100.. 7200.. 7300.. 7400.. 7500.. 7600.. 7700.. 7800.. 7900.. 8000.. 8100.. 8200.. 8300.. 8400.. 8500.. 8600.. 8700.. 8800.. 8900.. 9000.. 9100.. 9200.. 9300.. 9400.. 9500.. 9600.. 9700.. 9800.. 9900.. 10000.. 10100.. 10200.. 10300.. 10400.. 10500.. 10600.. 10700.. 10800.. 10900.. 11000.. 11100.. 11200.. 11300.. 11400.. 11500.. 11600.. 11700.. 11800.. 11900.. 12000.. 12100.. 12200.. 12300.. 12400.. 12500.. 12600.. 12700.. 12800.. 12900.. 13000.. 13100.. 13200.. 13300.. 13400.. 13500.. 13600.. 13700.. 13800.. 13900.. 14000.. 14100.. 14200.. 14300.. 14400.. 14500.. 14600.. 14700.. 14800.. 14900.. 15000.. 15100.. 15200.. 15300.. 15400.. 15500.. 15600.. 15700.. 15800.. 15900.. 16000.. 16100.. 16200.. 16300.. 16400.. 16500.. 16600.. 16700.. 16800.. 16900.. 17000.. 17100.. 17200.. 17300.. 17400.. 17500.. 
Done!16.42 s

Number of sentences: 17535
Number of features:  9186816
Number of thread(s): 1
Freq:                1
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=0 terr=0.99909 serr=1.00000 act=9186816 obj=2088077.46240 diff=1.00000
iter=1 terr=0.06213 serr=0.69712 act=9186816 obj=1014161.27750 diff=0.51431
iter=2 terr=0.06213 serr=0.69712 act=9186816 obj=753270.80046 diff=0.25725
iter=3 terr=0.06213 serr=0.69712 act=9186816 obj=648299.23309 diff=0.13935
iter=4 terr=0.06130 serr=0.66997 act=9186816 obj=240649.89023 diff=0.62880
iter=5 terr=0.50362 serr=0.98569 act=9186816 obj=20768684.28664 diff=85.30249
iter=6 terr=0.05430 serr=0.63410 act=9186816 obj=172294.58081 diff=0.99170
iter=7 terr=0.02931 serr=0.47100 act=9186816 obj=163668.35033 diff=0.05007
iter=8 terr=0.04264 serr=0.58158 act=9186816 obj=149012.90847 diff=0.08954
iter=9 terr=0.03609 serr=0.56778 act=9186816 obj=132119.71357 diff=0.11337
iter=10 terr=0.02925 serr=0.49147 act=9186816 obj=90866.78175 diff=0.31224
iter=11 terr=0.02538 serr=0.37628 act=9186816 obj=63686.44356 diff=0.29912
iter=12 terr=0.02384 serr=0.32700 act=9186816 obj=52568.14293 diff=0.17458
iter=13 terr=0.02172 serr=0.30299 act=9186816 obj=43636.87509 diff=0.16990
iter=14 terr=0.01839 serr=0.26621 act=9186816 obj=35591.72483 diff=0.18437
iter=15 terr=0.01757 serr=0.24711 act=9186816 obj=30260.00738 diff=0.14980
iter=16 terr=0.01611 serr=0.23405 act=9186816 obj=25871.89523 diff=0.14501
iter=17 terr=0.01618 serr=0.24095 act=9186816 obj=24561.09124 diff=0.05067
iter=18 terr=0.01557 serr=0.22800 act=9186816 obj=24106.75590 diff=0.01850
iter=19 terr=0.01667 serr=0.23656 act=9186816 obj=24913.42546 diff=0.03346
iter=20 terr=0.01512 serr=0.22264 act=9186816 obj=23259.19065 diff=0.06640
iter=21 terr=0.01408 serr=0.21106 act=9186816 obj=21989.15857 diff=0.05460
iter=22 terr=0.01397 serr=0.21021 act=9186816 obj=20849.43567 diff=0.05183
iter=23 terr=0.01315 serr=0.20000 act=9186816 obj=19496.00304 diff=0.06491
iter=24 terr=0.01155 serr=0.18186 act=9186816 obj=17115.32224 diff=0.12211
iter=25 terr=0.01165 serr=0.17884 act=9186816 obj=16324.82667 diff=0.04619
iter=26 terr=0.01080 serr=0.16881 act=9186816 obj=15548.49281 diff=0.04756
iter=27 terr=0.01043 serr=0.16641 act=9186816 obj=15290.29776 diff=0.01661
iter=28 terr=0.01017 serr=0.16362 act=9186816 obj=14860.45787 diff=0.02811
iter=29 terr=0.00978 serr=0.15922 act=9186816 obj=14277.60241 diff=0.03922
iter=30 terr=0.00942 serr=0.15398 act=9186816 obj=13549.30561 diff=0.05101
iter=31 terr=0.00889 serr=0.14719 act=9186816 obj=12480.14152 diff=0.07891
iter=32 terr=0.00897 serr=0.14554 act=9186816 obj=11972.69479 diff=0.04066
iter=33 terr=0.00824 serr=0.13944 act=9186816 obj=11471.06550 diff=0.04190
